count,percentile_0,facility_type,floor_area_min,floor_area_max,percentile_50,standard_dev,percentile_25,percentile_75,percentile_100,mean
42,8.208964174091303,Education - Uncategorized,50000.0,100000.0,55.737337204732285,28.020051528200643,45.298322402634014,72.83118118145447,159.02562668140393,59.63766128627495
90,222.7978260869565,Food Service - Uncategorized,1000.0,2000.0,317.9749046853467,67.94777133839634,287.2384245683155,351.29892565359467,617.9359999999999,330.85439772113955
54,3.4397857048330334,Apartment Unit,1000.0,2000.0,33.28442601625237,37.89711430926333,11.466164748568751,55.057202871851516,163.45214413239015,41.13605471402052
156,23.0,Retail - Uncategorized,10000.0,20000.0,109.47241675039018,29.899591376597936,93.85148461609651,125.88292584031922,179.3620593172915,106.94670121157186
224,18.143311231647107,Office - Uncategorized,200000.0,14500000.0,68.44130473618449,36.908722858419026,56.3328494037773,81.7927671744009,376.59329844454953,73.09146288262194
119,23.0,Retail - Uncategorized,20000.0,50000.0,59.94216857012036,16.079886169954303,53.70718660087397,68.5905635874978,121.0,62.37868524828793
49,9.962686567164177,Service - Post office or postal center,10000.0,20000.0,67.1629213483146,64.31585041306407,42.89719626168224,89.27499999999998,345.3602150537634,78.6060907713193
153,25.81980042138383,Office - Uncategorized,100000.0,200000.0,63.69378122629105,33.33039186593547,53.62881384090388,81.40930200949745,229.89296535216997,73.02787628185575
45,3.9253906841280495,Education - Uncategorized,100000.0,200000.0,62.0511632004207,31.894445800537117,51.91380133643822,79.95583601547278,196.36610542066632,69.90261522624785
18,34.69283885597249,Multifamily - Uncategorized,50000.0,100000.0,53.4675684716407,29.928663097249775,46.92521812910036,64.46034847196817,169.55475970032947,61.73813629162856
93,10.035208922002145,Commercial - Uncategorized,200000.0,14500000.0,55.93102205745608,49.989820513065744,38.50095124117471,94.9214054144794,311.3911751529558,71.84686857602391
71,14.198638199401826,Residential - Unknown,50000.0,100000.0,67.71046186980769,35.48668893040565,54.70538020614215,93.7393879649816,250.25081707531152,74.90636202100636
41,20.0,Retail - Uncategorized,50000.0,100000.0,43.035868176668515,25.701915658264376,35.05575957831977,50.201205441618924,184.7122021451699,46.428568503094134
154,4.469998244307576,Single Family - Detached,2000.0,5000.0,29.576908909399414,15.096541130462082,20.73883118118095,40.43915755468859,91.15397044074263,31.013918612128343
107,22.259304573118296,Office - Uncategorized,50000.0,100000.0,66.88999819679256,68.94056912136848,54.954798071586524,84.67091258888445,618.4146696629213,82.69751512987294
39,1.8170118219166593,Multifamily - Uncategorized,20000.0,50000.0,46.02748155953635,27.354828890588,31.00572510306222,59.3828913983142,113.62706269600703,43.69783124901017
69,8.257638235165157,Residential - Unknown,100000.0,200000.0,68.61276256089356,66.64813902158795,49.543597984031166,86.84024577186597,567.9420872129468,73.851870535656
62,1.5751880019052744,Apartment Unit,0.0,1000.0,17.6209155498236,52.423035910331926,12.38479068423474,60.68562463612808,233.93679490276364,42.912910419172874
33,7.919592378503496,Public Safety - Fire or police station,10000.0,20000.0,105.17101020571265,55.11076555686918,81.59855151276619,128.4235070788543,271.7310623399539,106.69728915330063
30,7.442070640013621,Single Family - Detached,1000.0,2000.0,50.47044659991548,25.361766715615214,36.2453347807035,63.15723983191616,113.54501459910948,52.86876161628774
72,5.601569746515964,Education - Uncategorized,20000.0,50000.0,56.80193262555536,26.31526652415143,46.54042477457459,80.17105548854491,132.64494210639015,61.96595855452844
34,22.716024916877,Lodging - Hotel,200000.0,14500000.0,86.33845010196214,36.54639948227193,73.1949030166771,113.8278297972874,189.23954762148546,95.0606854101319
58,3.9873439550381238,Office - Uncategorized,20000.0,50000.0,63.44617398265581,86.87724336074784,49.808072637441555,75.47375234569363,647.2603733333332,79.38266893070843
69,22.0,Retail - Uncategorized,100000.0,200000.0,44.92074997248219,18.63144667462965,34.0,61.7725745914096,133.9741848390483,48.90651426278293
46,1.4042265028688181,Residential - Unknown,200000.0,14500000.0,61.85043798682766,34.12527629297886,41.56209460291143,78.3922461454845,141.8707119912226,63.213169880041704
